"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp","Updated"
"Framed (1975/ Kino Lorber Studio Classics/ Blu-ray)","Kino Lorber Studio Classics",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",29.95,"R","1975","Action/Adventure","1.85:1","738329211196",2017-02-28 00:00:00,298088,2017-02-28 00:00:00,"1"
"Fuller House: The Complete 1st Season","Warner Brothers",,"Out","2.0","LBX, 16:9",24.98,"NR","2016","TV Classics","1.78:1","883929563289",2017-02-28 00:00:00,297327,2017-02-28 00:00:00,"1"
"Gate (Lions Gate/ Blu-ray/ Collector's Series)","Lions Gate",,"Out","2.0","LBX, 16:9, BLU-RAY",39.97,"PG-13","1987","Horror","1.85:1","031398260738",2017-02-28 00:00:00,298174,2017-02-28 00:00:00,"1"
"Get On Stage! Teacher's Book + DVD And Audio CD: 21 Sketches And Plays For Young Learners And Teens (Book w/ DVD/CD Combo)","Cambridge University Press",,"Out","2.0","4:3",63.75,"NR","2012","Special Interest","1.33:1","9781107637757",2017-03-01 00:00:00,225933,2017-02-28 00:00:00,"1"
"Gianfranco Rosi Collection","Kino Lorber",2017-04-25 00:00:00,"Pending","2.0","LBX, 16:9",44.95,"NR","VAR","VAR","1.85:1","738329214074",2017-04-25 00:00:00,299250,2017-02-28 00:00:00,"0"
"Gianfranco Rosi Collection (Blu-ray)","Kino Lorber",2017-04-25 00:00:00,"Pending","2.0","LBX, 16:9, BLU-RAY",49.95,"NR","VAR","VAR","1.85:1","738329214081",2017-04-25 00:00:00,299278,2017-02-28 00:00:00,"0"
"Gilbert & Sullivan (Book w/ DVD)","Upfront Entertainment",,"Out","2.0","4:3",45,"NR","2017","Special Interest","1.33:1","9780993181399",2017-03-01 00:00:00,289995,2017-02-28 00:00:00,"1"
"Girls Gone Wild: EDM Girls","GGW Brands",2017-05-09 00:00:00,"Pending","2.0","4:3",19.95,"UR","2017","Late Night","1.33:1","859375005857",2017-05-09 00:00:00,299292,2017-02-28 00:00:00,"0"
"Girls Gones Wild: Naked & Outdoors","GGW Brands",2017-05-09 00:00:00,"Pending","2.0","4:3",19.95,"UR","2017","Late Night","1.33:1","859375005864",2017-05-09 00:00:00,299275,2017-02-28 00:00:00,"0"
"Gunsmoke (1955): The 1st - 4th Seasons","Paramount",,"Out","2.0","4:3",68.99,"NR","VAR","TV Classics","1.33:1","032429270023",2017-02-28 00:00:00,298944,2017-02-28 00:00:00,"1"
"Hannah: Buddhism's Untold Journey","Alive Mind",,"Out","2.0","LBX, 16:9",29.95,"NR","2014","Documentary","1.78:1","738329209438",2017-02-28 00:00:00,297739,2017-02-28 00:00:00,"1"
"Harbinger","TomCat Releasing",,"Out","2.0","LBX, 16:9",14.95,"NR","2015","Horror","2.35:1","760137964094",2017-02-28 00:00:00,297546,2017-02-28 00:00:00,"1"
"Hunter X Hunter, Vol. 2","Viz Entertainment",,"Out","SUB","LBX, 16:9",24.98,"MA15","2000","Anime","1.78:1","782009244721",2017-02-28 00:00:00,297955,2017-02-28 00:00:00,"1"
